date,D. acuminata,D. acuta,D. norvegica
2006-03-12,0,0,0
2006-05-02,0,0,0
2006-05-08,0,0,0
2006-05-15,0,0,0
2006-05-22,0,0,0
2006-05-29,0,0,0
2006-06-06,0,0,0
2006-06-12,0,0,0
2006-06-19,0,0,0
2006-06-26,0,0,0
2006-07-03,120,0,0
2006-07-10,0,0,0
2006-07-17,2720,40,120
2006-07-24,1240,80,120
2006-07-31,400,0,120
2006-08-07,120,0,0
2006-08-14,0,0,0
2006-08-21,0,0,0
2006-08-28,40,80,0
2006-09-04,40,280,120
2006-09-11,200,440,200
2006-09-18,320,1120,800
2006-09-25,200,880,320
2006-10-02,0,40,0
2006-10-09,40,280,80
2006-10-16,0,0,0
2006-10-23,0,0,0
2006-10-30,0,0,0
2006-11-06,0,0,0
2006-11-13,0,0,0
2006-11-20,0,0,0
2006-11-27,0,0,40
2006-12-04,0,0,0
2006-12-11,0,0,0
2006-12-18,0,0,0
2007-02-11,0,0,0
2007-02-27,0,0,0
2007-03-05,0,0,0
2007-03-19,0,0,0
2007-03-27,0,0,0
2007-04-10,0,0,0
2007-04-16,0,0,0
2007-04-23,0,0,0
2007-05-02,0,0,0
2007-05-07,0,0,0
2007-05-14,0,0,0
2007-05-21,0,0,0
2007-05-29,0,0,0
2007-06-04,0,0,0
2007-06-11,0,0,0
2007-06-18,40,0,0
2007-06-25,0,0,0
2007-07-02,0,0,0
2007-07-09,0,0,0
2007-07-16,0,0,0
2007-07-23,40,0,0
2007-07-30,0,0,0
2007-08-06,0,0,0
2007-08-13,0,0,40
2007-08-20,240,0,80
2007-08-27,40,80,0
2007-09-03,0,160,120
2007-09-10,0,80,80
2007-09-17,40,80,0
2007-09-24,40,0,200
2007-10-01,0,40,40
2007-10-08,0,0,40
2007-10-14,40,260,40
2007-10-22,0,0,0
2007-10-29,0,0,0
2007-11-04,0,0,0
2007-11-19,0,0,0
2007-11-26,0,0,0
2007-12-03,0,0,0
2007-12-10,0,0,0
2008-02-04,0,0,0
2008-02-18,0,0,0
2008-02-25,0,0,0
2008-03-03,0,0,0
2008-03-10,0,0,0
2008-03-25,0,0,0
2008-03-31,0,0,0
2008-04-07,0,0,0
2008-04-14,0,0,0
2008-04-21,0,0,0
2008-04-28,0,0,0
2008-05-05,0,0,0
2008-05-13,0,0,0
2008-05-19,0,0,0
2008-05-26,0,0,0
2008-06-02,0,0,0
2008-06-09,0,0,0
2008-06-16,0,0,0
2008-06-23,0,0,0
2008-06-30,0,0,0
2008-07-07,0,0,0
2008-07-14,0,0,0
2008-07-21,0,0,0
2008-07-28,0,0,0
2008-08-04,0,0,0
2008-08-11,160,0,0
2008-08-18,0,0,0
2008-08-25,0,0,0
2008-09-01,0,80,480
2008-09-08,40,0,280
2008-09-13,0,0,0
2008-09-22,0,40,80
2008-09-29,0,0,40
2008-10-06,0,0,0
2008-10-13,0,0,0
2008-10-20,0,0,0
2008-10-27,0,0,0
2008-11-02,0,0,40
2008-11-10,0,0,0
2009-01-26,0,0,0
2009-02-02,0,0,0
2009-02-09,0,0,0
2009-02-16,0,0,0
2009-02-23,0,0,0
2009-03-02,0,0,0
2009-03-09,0,0,0
2009-03-16,0,0,0
2009-03-23,0,0,0
2009-03-30,0,0,0
2009-04-20,0,0,0
2009-04-27,0,0,0
2009-05-04,0,0,0
2009-05-11,0,0,0
2009-05-18,0,0,0
2009-05-25,0,0,0
2009-06-08,0,0,0
2009-06-15,0,0,0
2009-06-22,0,0,0
2009-06-29,0,0,0
2009-07-06,40,0,0
2009-07-13,80,0,0
2009-07-20,,0,0
2009-07-27,,0,0
2009-08-03,,0,0
2009-08-10,,0,0
2009-08-17,0,0,0
2009-08-24,40,0,80
2009-08-31,40,0,160
2009-09-07,0,0,160
2009-09-13,0,0,0
2009-09-21,0,0,40
2009-09-28,0,0,0
2009-10-05,0,0,0
2009-10-12,0,0,0
2009-10-19,0,0,0
2009-10-26,0,0,0
