,par,sst,eastward_wind,northward_wind
2006-01-01,,4.811745,-0.33203125,2.6900113
2006-01-02,,4.2360945,-0.17226562,2.4969518
2006-01-03,,3.844355,-3.988093,4.845145
2006-01-04,,3.646093,4.85565,9.9470005
2006-01-05,,3.4552267,12.349079,6.7131834
2006-01-06,,3.3887038,6.8569965,2.3789132
2006-01-07,,3.305226,4.805887,4.630873
2006-01-08,,3.2760952,5.4279995,7.3425083
2006-01-09,,3.1452305,6.2785435,8.874121
2006-01-10,,2.9360895,3.239474,10.203453
2006-01-11,,2.6560948,3.5244977,7.3825965
2006-01-12,,2.597395,1.0093681,0.26688755
2006-01-13,,2.4152207,7.459124,8.693932
2006-01-14,,2.4687035,4.3333426,7.230636
2006-01-15,,2.6387024,3.338581,4.6771345
2006-01-16,,2.855657,-1.4472517,10.301011
2006-01-17,,2.70783,-3.5377371,13.925133
2006-01-18,,2.478273,-1.5076799,12.611886
2006-01-19,,2.3700058,-1.7711984,12.642467
2006-01-20,,2.2343497,-6.6537247,17.382492
2006-01-21,,2.0800092,-3.7455428,13.3259
2006-01-22,,1.9547836,0.58939034,12.906515
2006-01-23,,1.9269595,9.548424,6.2597027
2006-01-24,,1.8569615,4.517327,-0.79385465
2006-01-25,,1.7460924,6.7592216,-2.6506279
2006-01-26,,1.647396,9.949156,-4.8265414
2006-01-27,,1.5647888,4.516511,-4.355964
2006-01-28,,1.5378325,10.2257185,4.361168
2006-01-29,,1.3208737,12.9360285,-4.785993
2006-01-30,,1.2108778,5.402295,-7.154848
2006-01-31,,1.1978322,-0.8092983,3.2009208
2006-02-01,,1.3604392,4.686963,-0.2625349
2006-02-02,,2.2182658,-6.1858606,-1.4873326
2006-02-03,,3.0073986,-4.3862233,3.4243584
2006-02-04,,3.60044,-1.2501674,6.2683663
2006-02-05,,3.7634861,0.8793371,6.568813
2006-02-06,,3.4817438,-1.453718,7.934403
2006-02-07,,3.1856596,0.8431571,8.043625
2006-02-08,,3.029135,3.7746093,8.009689
2006-02-09,,2.7860944,10.008957,6.3720913
2006-02-10,,2.630874,12.367271,-4.1313267
2006-02-11,,2.3943522,6.1710587,5.4089704
2006-02-12,,2.10957,7.64661,4.982924
2006-02-13,,1.951745,6.203662,-6.7427874
2006-02-14,,1.8130454,4.5690637,-0.6356515
2006-02-15,,1.9669627,0.3748326,7.3043528
2006-02-16,,3.0613112,0.49240375,5.41755
2006-02-17,,3.2369597,-0.088378906,5.898863
2006-02-18,,3.292616,-0.09747489,7.440576
2006-02-19,,3.3156593,0.04828404,4.5257673
2006-02-20,,3.2291367,1.6561942,-0.041350447
2006-02-21,,3.0217457,7.925258,-0.80566406
2006-02-22,,2.8213103,10.669385,0.83409595
2006-02-23,,2.5739188,8.527156,-3.0467007
2006-02-24,,2.411308,11.536942,-5.7360353
2006-02-25,,2.2004395,3.271889,-8.799428
2006-02-26,,2.113049,2.5469866,-10.271743
2006-02-27,,2.0652227,-1.2803711,-3.5391672
2006-02-28,,2.5904422,-4.623584,-1.6159319
2006-03-01,,3.4095697,-3.9186106,-2.0323172
2006-03-02,,3.2604384,-2.8030133,-2.2104213
2006-03-03,,3.1665304,3.190046,4.4615026
2006-03-04,,2.802615,3.3212264,8.116594
2006-03-05,,2.933485,-0.3859445,4.1407156
2006-03-06,,3.0452244,-3.1446917,1.8410156
2006-03-07,,3.019571,-1.6754882,5.406313
2006-03-08,,3.0056617,2.5172713,3.5377023
2006-03-09,,3.0169637,3.9622908,1.4726981
2006-03-10,,2.808266,5.44299,-3.0955567
2006-03-11,,2.853046,8.373075,0.07825753
2006-03-12,,2.8130467,8.408022,-1.841762
2006-03-13,,2.7460938,3.4485562,7.8980746
2006-03-14,,2.5578308,9.984563,9.49617
2006-03-15,,2.320006,10.304346,1.0951312
2006-03-16,,2.099133,7.953753,-4.3081193
2006-03-17,,1.899572,8.19917,-2.0527554
2006-03-18,,1.7526165,-1.4696358,-7.9506764
2006-03-19,,1.7608762,-2.9811733,-7.5875835
2006-03-20,,1.6500019,-3.8601353,-3.2223215
2006-03-21,9.17478,1.6756566,-5.3399973,-0.8571638
2006-03-22,,1.6421814,-3.4923131,-5.6695523
2006-03-23,,1.5608772,5.5652485,-6.9246025
2006-03-24,,1.8930504,-1.0083357,-5.2842636
2006-03-25,,2.604788,-6.1004186,-2.8941615
2006-03-26,,2.6174037,-6.1289134,-1.0141252
2006-03-27,,2.6147873,-4.8313756,1.5515137
2006-03-28,,2.4943569,-6.0217633,-2.2218819
2006-03-29,11.588508,2.443922,-4.9814034,-0.6998396
2006-03-30,,2.4887059,-2.7020578,2.2170131
2006-03-31,,2.587827,-6.3198314,2.147182
2006-04-01,,2.4047866,-7.332931,1.6767508
