date,D. acuminata,D. acuta,D. norvegica,P. reticulatum,Pn. sp.,Pn. seriata,A. sp.,A. tamarense,A. spinosum,D. sp.
2006-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
2006-05-08,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
2006-05-15,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
2006-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-28,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
2006-06-06,0.0,0.0,120.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0
2006-06-12,120.0,0.0,0.0,0.0,0.0,0.0,240.0,40.0,0.0,120.0
2006-06-18,120.0,0.0,520.0,0.0,3450.0,800.0,1720.0,40.0,0.0,640.0
2006-06-25,0.0,0.0,40.0,0.0,79350.0,6000.0,0.0,0.0,0.0,40.0
2006-07-02,40.0,0.0,40.0,40.0,20700.0,3000.0,40.0,320.0,0.0,80.0
2006-07-10,200.0,0.0,40.0,0.0,2300.0,0.0,120.0,120.0,0.0,240.0
2006-07-17,80.0,0.0,80.0,0.0,6900.0,0.0,80.0,80.0,0.0,160.0
2006-07-24,240.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0
2006-07-31,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
2006-08-07,120.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0
2006-08-14,720.0,0.0,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0
2006-08-21,40.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2006-08-27,0.0,0.0,40.0,0.0,120.0,0.0,0.0,0.0,0.0,40.0
2006-09-04,0.0,0.0,160.0,0.0,0.0,80.0,0.0,40.0,0.0,160.0
2006-09-11,80.0,40.0,160.0,0.0,6900.0,0.0,0.0,0.0,0.0,280.0
2006-09-18,120.0,0.0,200.0,0.0,4600.0,0.0,0.0,0.0,0.0,320.0
2006-09-25,0.0,0.0,120.0,0.0,6900.0,960.0,0.0,0.0,0.0,120.0
2006-10-02,80.0,0.0,40.0,0.0,13800.0,920.0,0.0,0.0,0.0,120.0
2006-10-08,40.0,0.0,120.0,0.0,18400.0,0.0,0.0,0.0,0.0,160.0
2006-10-23,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0
2006-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-06,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0
2006-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-14,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
2011-03-21,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0
2011-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-04,0.0,0.0,0.0,0.0,640.0,240.0,0.0,0.0,0.0,0.0
2011-04-11,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0
2011-05-02,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0
2011-05-09,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0
2011-05-16,0.0,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0
2011-05-23,0.0,0.0,0.0,0.0,5760.0,5760.0,40.0,0.0,0.0,0.0
2011-05-30,0.0,0.0,0.0,0.0,34200.0,0.0,160.0,0.0,0.0,0.0
2011-06-06,40.0,0.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,40.0
2011-06-14,0.0,0.0,0.0,0.0,2542050.0,0.0,120.0,0.0,0.0,0.0
2011-06-20,0.0,0.0,0.0,0.0,295550.0,0.0,120.0,80.0,0.0,0.0
2011-06-27,80.0,0.0,0.0,0.0,380860.0,160.0,200.0,160.0,0.0,80.0
2011-07-04,0.0,0.0,0.0,0.0,106640.0,840.0,160.0,160.0,0.0,0.0
2011-07-11,360.0,0.0,0.0,0.0,0.0,0.0,720.0,600.0,0.0,360.0
2011-07-18,120.0,0.0,0.0,40.0,0.0,0.0,240.0,160.0,0.0,120.0
2011-07-25,40.0,0.0,0.0,40.0,17250.0,0.0,2720.0,2600.0,0.0,40.0
2011-08-01,80.0,0.0,40.0,0.0,41400.0,0.0,360.0,200.0,0.0,120.0
2011-08-08,0.0,0.0,0.0,0.0,480.0,0.0,40.0,0.0,0.0,0.0
2011-08-15,40.0,0.0,0.0,0.0,37950.0,0.0,40.0,40.0,0.0,40.0
2011-08-22,0.0,0.0,0.0,0.0,27600.0,0.0,80.0,40.0,0.0,0.0
2011-08-29,40.0,0.0,40.0,40.0,33000.0,0.0,200.0,80.0,0.0,80.0
2011-09-05,40.0,0.0,80.0,40.0,10200.0,0.0,440.0,440.0,0.0,120.0
2011-09-12,0.0,0.0,0.0,40.0,9900.0,0.0,2200.0,2160.0,0.0,0.0
2011-09-19,0.0,0.0,0.0,0.0,3900.0,0.0,400.0,400.0,0.0,0.0
2011-09-26,0.0,0.0,0.0,0.0,1120.0,0.0,320.0,320.0,0.0,0.0
2011-10-03,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0
2011-10-10,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0
2011-10-17,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0
2011-10-24,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0
