Dato,DSP,YTX,AZA,PTX,PSP,ASP
2006-05-02,,,,,,
2006-05-08,0.0,0.0,0.0,0.0,200.0,0.0
2006-05-15,,,,,,
2006-05-22,,,,,,
2006-05-28,,,,,,
2006-06-06,20.0,0.0,0.0,0.0,100.0,0.0
2006-06-12,,,,,,
2006-06-18,,,,,,
2006-06-25,,,,,,
2006-07-02,,,,,,
2006-07-10,21.0,0.0,0.0,0.0,100.0,0.0
2006-07-17,,,,,,
2006-07-24,,,,,,
2006-07-31,41.0,0.0,0.0,20.0,100.0,0.0
2006-08-07,,,,,,
2006-08-14,,,,,,
2006-08-21,,,,,,
2006-08-27,,,,,,
2006-09-04,101.0,0.0,0.0,0.0,100.0,0.0
2006-09-11,,,,,,
2006-09-18,,,,,,
2006-09-25,63.895061728395056,0.0,0.0,0.0,100.0,0.0
2006-10-02,,,,,,
2006-10-08,,,,,,
2006-10-23,26.0,0.0,0.0,0.0,0.0,0.0
2006-10-30,,,,,,
2006-11-06,,,,,,
2006-11-19,,,,,,
2006-11-27,35.0,20.0,20.0,0.0,0.0,0.0
2006-12-03,,,,,,
2011-03-07,25.54995773877704,275.3569577682176,20.0,20.0,315.0,500.0
2011-03-14,,,,,,
2011-03-21,,,,,,
2011-03-28,,,,,,
2011-04-04,20.0,209.1958296762779,20.0,20.0,399.0,500.0
2011-04-11,,,,,,
2011-05-02,,,,,,
2011-05-09,20.0,202.02914607185534,20.0,20.0,432.0,500.0
2011-05-16,,,,,,
2011-05-23,,,,,,
2011-05-30,,,,,,
2011-06-06,,,,,,
2011-06-14,,,,,,
2011-06-20,20.0,46.91601058567625,20.0,20.0,505.0,500.0
2011-06-27,,,,,,
2011-07-04,,,,,,
2011-07-11,85.72300075216957,151.592205051031,20.0,20.0,1385.0,500.0
2011-07-18,,,,,,
2011-07-25,,,,,,
2011-08-01,,,,,,
2011-08-08,20.0,99.30891220862287,20.0,20.0,1381.0,500.0
2011-08-15,,,,,,
2011-08-22,,,,,,
2011-08-29,,,,,,
2011-09-05,35.46951942347954,211.13418288957902,20.0,20.0,1072.0,500.0
2011-09-12,,,,,,
2011-09-19,,,,,,
2011-09-26,,,,,,
2011-10-03,20.0,99.24818764561938,20.0,20.0,970.9925396936899,500.0
2011-10-10,,,,,,
2011-10-17,,,,,,
2011-10-24,,,,,,
2011-10-31,20.0,77.45860164603101,20.0,20.0,475.0,500.0
2012-03-26,20.0,48.18905784722711,20.0,20.0,177.76538068101766,500.0
2012-04-10,20.0,99.78526997926066,20.0,20.0,240.56996681502744,500.0
2012-04-23,20.0,115.280119623461,20.0,20.0,603.0,500.0
2012-05-07,20.0,118.41584582343587,20.0,20.0,666.0,500.0
2012-05-21,20.0,42.29393338525813,20.0,20.0,503.30931651580255,500.0
2012-06-04,20.0,78.19073545943999,20.0,20.0,2098.0,500.0
2012-06-18,20.0,48.350474047753075,20.0,20.0,1632.0,500.0
2012-07-02,20.0,37.03816596102586,20.0,20.0,1596.0,500.0
2012-07-16,20.0,20.0,20.0,20.0,1302.0,500.0
2012-07-30,20.0,26.00018501639145,20.0,20.0,910.0,500.0
2012-08-13,20.0,20.0,20.0,20.0,694.0,500.0
2012-08-27,20.0,20.0,20.0,20.0,1130.118620143069,500.0
2012-09-10,20.0,36.01618372049554,20.0,20.0,758.0,500.0
2012-09-24,20.0,29.14695671579963,20.0,20.0,391.0,500.0
2012-10-08,20.0,30.267068999042685,20.0,20.0,199.0,809.0
2012-10-22,20.0,20.0,20.0,20.0,100.0,500.0
2012-11-05,20.0,20.0,20.0,20.0,100.0,500.0
2012-11-19,20.0,20.0,20.0,20.0,292.0,500.0
2012-12-03,20.0,20.0,20.0,20.0,128.0,500.0
2013-02-04,20.0,25.317575224903898,20.0,20.0,158.0,500.0
2013-02-11,,,,,,
2013-02-18,,,,,,
2013-02-25,,,,,,
2013-03-04,20.0,162.0729361358329,20.0,20.0,100.0,500.0
2013-03-11,,,,,,
2013-03-18,20.0,129.8394862612718,20.0,20.0,122.78441180569736,500.0
2013-04-02,20.0,122.08772247560199,20.0,20.0,318.3539278498845,500.0
2013-04-08,,,,,,
2013-04-15,20.0,136.6565988205958,20.0,20.0,168.0,500.0
2013-04-22,,,,,,
2013-04-29,20.0,97.4881900705066,20.0,20.0,217.0,500.0
2013-05-06,,,,,,
2013-05-13,20.0,104.41034304529951,20.0,20.0,158.9253558864831,500.0
2013-05-27,20.0,59.452004630969,20.0,20.0,100.0,500.0
2013-06-03,,,,,,
2013-06-10,20.0,107.4448548408031,20.0,20.0,200.0,500.0
2013-06-17,,,,,,
2013-06-24,20.0,76.34009039182081,20.0,20.0,100.0,500.0
2013-07-08,20.0,23.16526598502461,20.0,20.0,212.0,500.0
2013-07-15,,,,,,
2013-07-22,20.0,31.81103586622146,20.0,20.0,322.0,500.0
2013-07-29,20.0,117.5521314972654,20.0,20.0,195.0,500.0
2013-08-05,20.0,20.0,20.0,20.0,232.0,500.0
2013-08-12,,,,,,
2013-08-19,20.0,20.593092391061496,20.0,20.0,869.0,500.0
2013-08-26,,,,,,
2013-09-02,20.0,23.3263756736835,20.0,20.0,652.0,500.0
2013-09-09,,,,,,
2013-09-16,20.0,37.855165227311495,20.0,20.0,170.0,500.0
2013-09-23,,,,,,
2013-09-30,20.0,117.4382395446057,20.0,20.0,278.0,500.0
2013-10-07,,,,,,
2013-10-14,20.0,26.1238655076722,20.0,20.0,269.0,500.0
2013-10-21,,,,,,
2013-10-28,20.0,91.9401977067991,20.0,20.0,269.0,500.0
2013-11-04,,,,,,
2013-11-11,20.0,67.0,20.0,20.0,100.0,500.0
2013-11-18,,,,,,
