,chla,par,sst,mld,eastward_wind,northward_wind,spm,sss
2000-01-01,,,5.794258880615234,,,,,
2000-01-02,,,5.7995048522949215,,,,,
2000-01-03,,,5.795003509521484,,,,,
2000-01-04,,,5.734256744384766,,,,,
2000-01-05,,,5.813254547119141,,,,,
2000-01-06,,,5.867008209228516,,,,,
2000-01-07,,,5.811255645751953,,,,,
2000-01-08,,,5.774756622314453,,,,,
2000-01-09,,,5.7512565612792965,,,,,
2000-01-10,,,5.809256744384766,,,,,
2000-01-11,,,5.847754669189453,,,,,
2000-01-12,,,5.794506072998047,,,,,
2000-01-13,,,5.760005187988281,,,,,
2000-01-14,,,5.686255645751953,,,,,
2000-01-15,,,5.647754669189453,,,,,
2000-01-16,,,5.634757232666016,,,,,
2000-01-17,,,5.591256713867187,,,,,
2000-01-18,,,5.5497581481933596,,,,,
2000-01-19,,,5.550255584716797,,,,,
2000-01-20,,,5.5290061950683596,,,,,
2000-01-21,,,5.4575050354003904,,,,,
2000-01-22,,,5.439006042480469,,,,,
2000-01-23,,,5.448507690429688,,,,,
2000-01-24,,,5.41375503540039,,,,,
2000-01-25,,,5.349504089355468,,,,,
2000-01-26,,,5.25975341796875,,,,,
2000-01-27,,,5.177507781982422,,,,,
2000-01-28,,,5.1097572326660154,,,,,
2000-01-29,,,5.050006103515625,,,,,
2000-01-30,,,5.001506805419922,,,,,
2000-01-31,,,5.094503021240234,,,,,
2000-02-01,,,5.038756561279297,,,,,
2000-02-02,,,5.016256713867188,,,,,
2000-02-03,,,4.943756866455078,,,,,
2000-02-04,,,4.896757507324219,,,,,
2000-02-05,,,4.832506561279297,,,,,
2000-02-06,,,4.745006561279297,,,,,
2000-02-07,,,4.703254699707031,,,,,
2000-02-08,,,4.699504089355469,,,,,
2000-02-09,,,4.660256958007812,,,,,
2000-02-10,,,4.638755798339844,,,,,
2000-02-11,,,4.614505767822266,,,,,
2000-02-12,,,4.5820060729980465,,,,,
2000-02-13,,,4.487253570556641,,,,,
2000-02-14,,,4.4577583312988285,,,,,
2000-02-15,,,4.444757080078125,,,,,
2000-02-16,,,4.434255981445313,,,,,
2000-02-17,,,4.345757293701172,,,,,
2000-02-18,,,4.187506103515625,,,,,
2000-02-19,,,4.104754638671875,,,,,
2000-02-20,,,4.110505676269531,,,,,
2000-02-21,,,4.081005096435547,,,,,
2000-02-22,,,4.037255859375,,,,,
2000-02-23,,,3.9407562255859374,,,,,
2000-02-24,,,3.9307571411132813,,,,,
2000-02-25,,,3.873004913330078,,,,,
2000-02-26,,,3.841755676269531,,,,1.56189554411432,
2000-02-27,,,3.8277565002441407,,,,,
2000-02-28,,,3.8250083923339844,,,,,
2000-02-29,,,3.880257415771484,,,,,
2000-03-01,,,4.0255073547363285,,,,,
2000-03-02,,,3.899755859375,,,,,
2000-03-03,,,3.6792572021484373,,,,,
2000-03-04,,,3.5850067138671875,,,,,
2000-03-05,,,3.5825042724609375,,,,1.302169254422188,
2000-03-06,,,3.438005065917969,,,,,
2000-03-07,,,3.6480064392089844,,,,,
2000-03-08,,,3.6512550354003905,,,,,
2000-03-09,,,3.616252899169922,,,,,
2000-03-10,,,3.6940071105957033,,,,,
2000-03-11,,,3.746254730224609,,,,,
2000-03-12,,,3.832255554199219,,,,,
2000-03-13,,,4.765007019042969,,,,1.7775187587738037,
2000-03-14,,,4.7242576599121096,,,,,
2000-03-15,,,4.669005584716797,,,,,
2000-03-16,,,4.5290061950683596,,,,,
2000-03-17,,,4.481008148193359,,,,,
2000-03-18,,,4.449004364013672,,,,,
2000-03-19,,,4.408756256103516,,,,,
2000-03-20,,6.585521174513775,4.326506805419922,,,,,
2000-03-21,0.5471993684768677,,4.447754669189453,,,,3.030066643158595,
2000-03-22,,,3.97000732421875,,,,,
2000-03-23,,,3.842254638671875,,,,,
2000-03-24,,,3.7117599487304687,,,,,
2000-03-25,,,3.74150390625,,,,,
2000-03-26,,,3.7535049438476564,,,,,
2000-03-27,,,3.776509094238281,,,,,
2000-03-28,,8.495533030966055,3.781005859375,,,,,
2000-03-29,0.542568539083004,,3.7995071411132812,,,,1.5790039685464674,
2000-03-30,,,3.8180076599121096,,,,,
2000-03-31,,,3.8157554626464845,,,,,
