date,D. acuminata,D. acuta,D. norvegica,P. reticulatum,Pn. sp.,Pn. seriata,A. sp.,A. tamarense,D. sp.,A. spinosum
2006-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2006-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2006-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2006-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2006-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2006-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2006-06-12,0.0,0.0,0.0,0.0,290000.0,0.0,0.0,0.0,0.0,
2006-06-19,0.0,0.0,0.0,0.0,190000.0,0.0,0.0,0.0,0.0,
2006-06-26,200.0,0.0,0.0,50.0,170000.0,0.0,0.0,0.0,200.0,
2006-07-03,0.0,40.0,40.0,0.0,0.0,0.0,80.0,0.0,80.0,
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2006-07-17,6210.0,630.0,1170.0,0.0,0.0,0.0,4320.0,4320.0,8010.0,
2006-07-24,720.0,240.0,560.0,0.0,0.0,0.0,0.0,0.0,1520.0,
2006-07-31,1520.0,440.0,320.0,0.0,0.0,0.0,0.0,0.0,2280.0,
2006-08-08,760.0,0.0,560.0,0.0,30000.0,0.0,0.0,0.0,1320.0,
2006-08-14,40.0,80.0,320.0,0.0,0.0,0.0,0.0,0.0,440.0,
2006-08-21,160.0,960.0,120.0,0.0,0.0,0.0,0.0,0.0,1240.0,
2006-08-29,40.0,240.0,200.0,0.0,0.0,0.0,0.0,0.0,480.0,
2006-09-05,80.0,1160.0,440.0,0.0,0.0,0.0,0.0,0.0,1680.0,
2006-09-12,240.0,2200.0,600.0,0.0,0.0,0.0,0.0,0.0,3040.0,
2006-09-18,400.0,1200.0,1050.0,0.0,0.0,0.0,0.0,0.0,2650.0,
2006-09-25,0.0,440.0,200.0,0.0,0.0,0.0,0.0,0.0,640.0,
