date,D. acuminata,D. acuta,D. norvegica,P. reticulatum,Pn. sp.,Pn. seriata,A. sp.,A. tamarense,D. sp.,A. spinosum
2008-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-03-31,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,
2008-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-04-22,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,
2008-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-05-05,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,
2008-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-05-19,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,
2008-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-06-02,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,
2008-06-09,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,
2008-06-16,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,0.0,
2008-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-06-30,0.0,0.0,0.0,0.0,0.0,0.0,520.0,520.0,0.0,
2008-07-07,0.0,0.0,0.0,0.0,0.0,0.0,160.0,120.0,0.0,
2008-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-28,0.0,0.0,0.0,0.0,80000.0,0.0,160.0,160.0,0.0,
2008-08-04,40.0,0.0,0.0,0.0,220000.0,0.0,0.0,0.0,40.0,
2008-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-08-18,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,
2008-08-25,0.0,0.0,0.0,0.0,0.0,0.0,360.0,360.0,0.0,
2008-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-04-20,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,
2009-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,
2009-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-06-08,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,
2009-06-16,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,
2009-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-09-07,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,
2009-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2009-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2010-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-11,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-14,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0
2010-06-21,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0
2010-06-28,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
2010-07-05,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0
2010-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-16,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
2010-08-23,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0
2010-08-30,0.0,0.0,0.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0
2010-09-06,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
2010-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-25,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0
2011-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-15,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
2011-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-12,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
2011-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-27,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
2011-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-31,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0
2011-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-28,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0
2012-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
