Dato,DSP,YTX,AZA,PTX,PSP,ASP
2008-02-04,20.0,20.0,20.0,20.0,191.0,100.0
2008-02-11,,,,,,
2008-02-18,,,,,,
2008-03-03,20.0,20.0,20.0,20.0,176.0,100.0
2008-03-10,,,,,,
2008-03-31,20.0,54.25,20.0,20.0,365.0,100.0
2008-04-07,,,,,,
2008-04-14,,,,,,
2008-04-22,,,,,,
2008-04-28,7.98102483517615,0.0,20.0,20.0,283.0,100.0
2008-05-05,20.0,20.0,20.0,20.0,170.0,100.0
2008-05-13,,,,,,
2008-05-19,,,,,,
2008-05-26,,,,,,
2008-06-02,20.0,20.0,20.0,20.0,118.74127264034159,100.0
2008-06-09,,,,,,
2008-06-16,,,,,,
2008-06-23,,,,,,
2008-06-30,38.0,100.0,20.0,20.0,263.0,400.0
2008-07-07,,,,,,
2008-07-14,,,,,,
2008-07-21,,,,,,
2008-07-28,,,,,,
2008-08-04,20.0,20.0,20.0,20.0,148.0,100.0
2008-08-11,,,,,,
2008-08-18,,,,,,
2008-08-25,,,,,,
2008-09-08,,,,,,
2008-09-15,,,,,,
2008-09-29,,,,,,
2008-10-06,,,,,,
2008-10-13,,,,,,
2008-10-27,,,,,,
2008-11-03,,,,,,
2008-11-10,,,,,,
2009-02-03,,,,,,
2009-03-02,,,,,,
2009-03-09,20.0,20.0,20.0,20.0,100.0,100.0
2009-03-16,,,,,,
2009-03-23,,,,,,
2009-03-30,20.0,20.0,20.0,20.0,100.0,100.0
2009-04-14,,,,,,
2009-04-20,,,,,,
2009-04-27,,,,,,
2009-05-04,20.0,20.0,20.0,20.0,171.0,100.0
2009-05-11,,,,,,
2009-05-18,,,,,,
2009-05-25,,,,,,
2009-06-02,20.0,20.0,20.0,20.0,100.0,100.0
2009-06-08,,,,,,
2009-06-16,,,,,,
2009-06-23,,,,,,
2009-06-29,,,,,,
2009-07-06,,,,,,
2009-07-13,20.0,20.0,20.0,20.0,100.0,332.0
2009-07-20,,,,,,
2009-07-27,20.0,20.0,20.0,20.0,100.0,500.0
2009-08-03,20.0,20.0,20.0,20.0,100.0,500.0
2009-08-10,,,,,,
2009-08-17,35.0,20.0,20.0,20.0,100.0,500.0
2009-08-25,,,,,,
2009-08-31,,,,,,
2009-09-07,,,,,,
2009-09-14,,,,,,
2009-09-21,22.129981158589178,20.0,20.0,20.0,150.0,500.0
